machine_id,current_A,vibration_ms2,state
1,0.073,1.029,MACHINE ON (Idle)
2,0.039,0.301,MACHINE OFF
5,0.129,1.307,MACHINE ON + WORKING
1,0.03,0.01,MACHINE OFF
5,0.05,0.744,MACHINE OFF
5,0.109,1.492,MACHINE ON (Idle)
3,0.041,0.576,MACHINE OFF
2,0.106,0.768,MACHINE ON (Idle)
2,0.045,0.14,MACHINE OFF
1,0.049,0.067,MACHINE OFF
3,0.133,5.045,MACHINE ON + WORKING
4,0.029,0.348,MACHINE OFF
4,0.049,0.144,MACHINE OFF
5,0.043,0.369,MACHINE OFF
2,0.024,0.154,MACHINE OFF
2,0.045,0.087,MACHINE OFF
2,0.142,1.926,MACHINE ON + WORKING
4,0.044,0.128,MACHINE OFF
3,0.16,1.722,MACHINE ON + WORKING
1,0.126,0.184,MACHINE ON + WORKING
2,0.046,0.089,MACHINE OFF
5,0.107,5.22,MACHINE ON + WORKING
1,0.101,0.685,MACHINE ON (Idle)
3,0.08,0.834,MACHINE ON (Idle)
5,0.134,1.189,MACHINE ON (Idle)
4,0.037,0.16,MACHINE OFF
4,0.039,0.218,MACHINE OFF
5,0.038,0.449,MACHINE OFF
4,0.036,0.162,MACHINE OFF
2,0.148,6.024,MACHINE ON + WORKING
4,0.145,3.618,MACHINE ON + WORKING
1,0.101,0.877,MACHINE ON (Idle)
4,0.018,0.105,MACHINE OFF
5,0.039,0.39,MACHINE OFF
5,0.149,3.614,MACHINE ON + WORKING
1,0.095,0.452,MACHINE ON (Idle)
3,0.032,0.566,MACHINE OFF
3,0.036,0.294,MACHINE OFF
3,0.032,0.203,MACHINE OFF
5,0.166,1.25,MACHINE ON + WORKING
3,0.157,1.581,MACHINE ON + WORKING
2,0.126,1.206,MACHINE ON (Idle)
5,0.083,1.045,MACHINE ON (Idle)
1,0.048,0.207,MACHINE OFF
1,0.022,0.127,MACHINE OFF
3,0.104,0.819,MACHINE ON (Idle)
5,0.087,1.099,MACHINE ON (Idle)
4,0.129,4.262,MACHINE ON + WORKING
5,0.108,1.458,MACHINE ON (Idle)
4,0.094,0.725,MACHINE ON (Idle)
5,0.151,5.114,MACHINE ON + WORKING
2,0.047,0.113,MACHINE OFF
2,0.146,3.973,MACHINE ON + WORKING
3,0.098,1.206,MACHINE ON (Idle)
1,0.036,0.049,MACHINE OFF
1,0.035,0.01,MACHINE OFF
2,0.074,1.322,MACHINE ON (Idle)
1,0.043,0.038,MACHINE OFF
3,0.101,1.469,MACHINE ON (Idle)
4,0.028,0.01,MACHINE OFF
5,0.041,0.504,MACHINE OFF
4,0.176,4.226,MACHINE ON + WORKING
1,0.09,1.418,MACHINE ON (Idle)
4,0.031,0.168,MACHINE OFF
1,0.025,0.168,MACHINE OFF
1,0.131,4.681,MACHINE ON + WORKING
4,0.115,0.911,MACHINE ON + WORKING
4,0.046,0.141,MACHINE OFF
4,0.102,0.576,MACHINE ON (Idle)
1,0.098,1.338,MACHINE ON (Idle)
1,0.096,0.609,MACHINE ON (Idle)
2,0.048,0.252,MACHINE OFF
2,0.153,3.328,MACHINE ON + WORKING
